country_code,city,location,lat,lon,pollutant,source_name,unit,value,last_updated,country_label,location_label,value_ugm3,cap_ugm3,above_limit,month,extreme_value,year
AT,Amt der Niederösterreichischen Landesregierung,NET.03,48.14419999946653,16.95787,SO2,EEA Austria,µg/m³,8.05000019,2024-02-22T08:00:00Z,Austria,Amt der Niederösterreichischen Landesregierung,8.05000019,3000,FALSE,2,TRUE,2024
GB,Thurrock,Thurrock - Dock Road Tilbury,51.4638074287966,0.352141545594137,NO2,London Air Quality Network,µg/m³,65.6,2024-02-29T14:00:00Z,United Kingdom,Thurrock,65.6,4000,FALSE,2,TRUE,2024
HU,Szeged 2 Rózsa u.,Szeged 2 Rózsa u.,46.266619999999996,20.153050000000004,SO2,hungary-nms,µg/m³,46.2,2024-03-20T20:00:00Z,Hungary,Szeged 2 Rózsa u.,46.2,3000,FALSE,3,TRUE,2024
IN,NA,"Karve Road, Pune - MPCB",18.5011743,73.8165527,SO2,caaqm,µg/m³,300,2022-10-10T11:15:00Z,India,"Karve Road, Pune - MPCB",300,3000,FALSE,10,TRUE,2022
IN,NA,Alandur Bus Depot,12.99711389,80.19151667,CO,CPCB,µg/m³,5300,2017-10-11T08:45:00Z,India,Alandur Bus Depot,5300,60000,FALSE,10,TRUE,2017
JP,NA,周南市周陽３丁目1-1,34.041667,131.830278,NO2,japan-soramame,ppm,0.014,2024-03-10T08:00:00Z,Japan,周南市周陽３丁目1-1,26.34519427402863,4000,FALSE,3,TRUE,2024
MK,Hani i Elezit,Hani i Elezit,42.153961,21.29601,SO2,Kosovo,µg/m³,10.5,2024-03-15T20:00:00Z,"Macedonia, The former Yugoslav Rep. of",Hani i Elezit,10.5,3000,FALSE,3,TRUE,2024
MX,Salamanca,DIF,20.558055555556,-101.20472222221998,PM2.5,Sinaica Mexico,µg/m³,113.564111,2024-03-07T10:00:00Z,Mexico,Salamanca,113.564111,2000,FALSE,3,TRUE,2024
NO,Stavanger,Kannik,58.96421999999999,5.72786,PM2.5,Norway,µg/m³,25.901528,2024-03-20T22:00:00Z,Norway,Stavanger,25.901528,2000,FALSE,3,TRUE,2024
PL,Ostróda,"Ostróda, ul. Piłsudskiego",53.694587000000006,19.969041,CO,GIOS,µg/m³,854.0269999999999,2024-03-24T09:00:00Z,Poland,Ostróda,854.0269999999999,60000,FALSE,3,TRUE,2024
PL,NA,"Chełmno, Łunawska 3A",53.351975,18.447498,PM2.5,GIOS,µg/m³,94.4,2020-12-31T16:00:00Z,Poland,"Chełmno, Łunawska 3A",94.4,2000,FALSE,12,TRUE,2020
TH,NA,"Din Daeng, Din Daeng",13.775373291477,100.56892844813,O3,Thailand,ppm,0.119,2020-09-15T07:00:00Z,Thailand,"Din Daeng, Din Daeng",233.6196319018405,1200,FALSE,9,TRUE,2020
